iteration,direction,angle,datayear,element,rp,linecont
a,e ,40,2024,o,p,0.099
a,e ,40,2024,o,r,0.21
a,e ,40,2024,h2o,p,0.118
a,e ,40,2024,h2o,r,0.36
a,e ,45,2024,o,p,0.089
a,e ,45,2024,o,r,0.1938
a,e ,45,2024,h2o,p,0.096
a,e ,45,2024,h2o,r,0.3578
a,e ,50,2024,o,p,0.107
a,e ,50,2024,o,r,0.188
a,e ,50,2024,h2o,p,0.12
a,e ,50,2024,h2o,r,0.37
a,e ,55,2024,o,p,0.0948
a,e ,55,2024,o,r,0.26
a,e ,55,2024,h2o,p,0.088
a,e ,55,2024,h2o,r,0.354
a,e ,60,2024,o,p,0.078
a,e ,60,2024,o,r,0.218
a,e ,60,2024,h2o,p,0.092
a,e ,60,2024,h2o,r,0.332
a,e ,65,2024,o,p,0.094
a,e ,65,2024,o,r,0.222
a,e ,65,2024,h2o,p,0.096
a,e ,65,2024,h2o,r,0.32
a,e ,70,2024,o,p,0.086
a,e ,70,2024,o,r,0.234
a,e ,70,2024,h2o,p,0.095
a,e ,70,2024,h2o,r,0.334
a,e ,75,2024,o,p,0.105
a,e ,75,2024,o,r,0.222
a,e ,75,2024,h2o,p,0.106
a,e ,75,2024,h2o,r,0.341
a,e ,80,2024,o,p,0.105
a,e ,80,2024,o,r,0.208
a,e ,80,2024,h2o,p,0.104
a,e ,80,2024,h2o,r,0.351
a,e,0,2022,o,r,0.200539
a,e,0,2022,o,p,0.0471344
a,e,0,2022,h2o,r,0.213755
a,e,0,2022,h2o,p,0.0359154
a,e,10,2022,o,r,0.179334
a,e,10,2022,o,p,0.0162554
a,e,10,2022,h2o,r,0.18618
a,e,10,2022,h2o,p,0.0401375
a,e,20,2022,o,r,0.204527
a,e,20,2022,o,p,0.0099857
a,e,20,2022,h2o,r,0.189776
a,e,20,2022,h2o,p,0.041566
a,e,30,2022,o,r,0.15225
a,e,30,2022,o,p,0.0136195
a,e,30,2022,h2o,r,0.206599
a,e,30,2022,h2o,p,0.043095
a,e,40,2022,o,r,0.1729
a,e,40,2022,o,p,0.012261
a,e,40,2022,h2o,r,0.19069
a,e,40,2022,h2o,p,0.0396618
a,e,50,2022,o,r,0.183647
a,e,50,2022,o,p,0.018044
a,e,50,2022,h2o,r,0.202203
a,e,50,2022,h2o,p,0.0439617
a,e,60,2022,o,r,0.197549
a,e,60,2022,o,p,0.0110959
a,e,60,2022,h2o,r,0.216544
a,e,60,2022,h2o,p,0.044526
a,e,65,2022,o,r,0.21467
a,e,65,2022,o,p,0.0138478
a,e,65,2022,h2o,r,0.21948
a,e,65,2022,h2o,p,0.0443737
a,e,70,2022,o,r,0.217872
a,e,70,2022,o,p,0.0193335
a,e,70,2022,h2o,r,0.221012
a,e,70,2022,h2o,p,0.057109
a,e,75,2022,o,r,0.195719
a,e,75,2022,o,p,0.0117
a,e,75,2022,h2o,r,0.205801
a,e,75,2022,h2o,p,0.054913
a,e,80,2022,o,r,0.217502
a,e,80,2022,o,p,0.01469
a,e,80,2022,h2o,r,0.245622
a,e,80,2022,h2o,p,0.06659
