XRay (ID 01) / Kristallwinkel θ_c	XRay (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

5.5	5
5.6	2
5.7	2
5.8	3
5.9	4
6.0	5
6.1	0
6.2	2
6.3	5
6.4	1
6.5	2
6.6	2
6.7	1
6.8	3
6.9	1
7.0	2
7.1	1
7.2	4
7.3	2
7.4	2
7.5	2
7.6	2
7.7	1
7.8	2
7.9	2
8.0	2
8.1	2
8.2	1
8.3	4
8.4	2
8.5	2
8.6	2
8.7	4
8.8	8
8.9	11
9.0	17
9.1	28
9.2	26
9.3	42
9.4	55
9.5	44
9.6	43
9.7	54
9.8	58
9.9	59
10.0	69
10.1	62
10.2	67
10.3	78
10.4	78
10.5	71
10.6	92
10.7	81
10.8	109
10.9	97
11.0	91
11.1	93
11.2	102
11.3	115
11.4	107
11.5	107
11.6	123
11.7	112
11.8	108
11.9	131
12.0	124
12.1	146
12.2	123
12.3	137
12.4	152
12.5	141
12.6	155
12.7	153
12.8	157
12.9	147
13.0	142
13.1	154
13.2	143
13.3	131
13.4	134
13.5	150
13.6	138
13.7	136
13.8	134
13.9	123
14.0	126
14.1	145
14.2	145
14.3	143
14.4	143
14.5	141
14.6	135
14.7	167
14.8	148
14.9	162
15.0	172
15.1	181
15.2	187
15.3	191
15.4	191
15.5	236
15.6	259
15.7	265
15.8	234
15.9	241
16.0	191
16.1	183
16.2	143
16.3	154
16.4	144
16.5	150
16.6	146
16.7	145
16.8	144
16.9	143
17.0	173
17.1	137
17.2	142
17.3	166
17.4	162
17.5	183
17.6	243
17.7	368
17.8	428
17.9	463
18.0	470
18.1	447
18.2	519
18.3	607
18.4	705
18.5	673
18.6	657
18.7	537
18.8	320
18.9	251
19.0	222
19.1	176
19.2	186
19.3	173
19.4	183
19.5	173
19.6	161
19.7	182
19.8	159
19.9	151
20.0	164
20.1	163
20.2	150
20.3	149
20.4	163
20.5	169
20.6	171
20.7	156
20.8	147
20.9	140
21.0	178
21.1	339
21.2	697
21.3	1075
21.4	1403
21.5	1340
21.6	1140
21.7	610
21.8	252
21.9	166
22.0	131
22.1	115
22.2	103
22.3	107
22.4	114
22.5	101
22.6	105
22.7	103
22.8	95
22.9	88
23.0	85
23.1	97
23.2	88
23.3	85
23.4	78
23.5	78
23.6	87
23.7	70
23.8	78
23.9	75
24.0	64
24.1	61
24.2	68
24.3	67
24.4	83
24.5	85
24.6	80
24.7	87
24.8	59
24.9	54
25.0	52
25.1	49
25.2	43
25.3	33
25.4	51
25.5	40
25.6	37
25.7	42
25.8	44
25.9	34
26.0	40
26.1	45
26.2	35
26.3	37
26.4	28
26.5	33
26.6	29
26.7	26
26.8	24
26.9	23
27.0	25
27.1	24
27.2	29
27.3	21
27.4	24
27.5	17
27.6	21
27.7	20
27.8	22
27.9	12
28.0	16
28.1	13
28.2	19
28.3	19
28.4	15
28.5	15
28.6	14
28.7	17
28.8	12
28.9	14
29.0	13
29.1	12
29.2	11
29.3	10
29.4	10
29.5	4
29.6	9
29.7	11
29.8	10
29.9	7
30.0	7
30.1	9
30.2	6
30.3	10
30.4	5
30.5	10
30.6	10
30.7	9
30.8	10
30.9	8
31.0	7
31.1	3
31.2	6
31.3	8
31.4	11
31.5	4
31.6	9
31.7	6
31.8	8
31.9	7
32.0	5
32.1	5
32.2	5
32.3	4
32.4	3
32.5	7
32.6	5
32.7	6
32.8	6
32.9	6
33.0	11
33.1	7
33.2	11
33.3	6
33.4	2
33.5	6
33.6	2
33.7	5
33.8	2
33.9	2
34.0	7
34.1	3
34.2	2
34.3	3
34.4	2
34.5	5
34.6	5
34.7	6
34.8	4
34.9	3
35.0	1
35.1	2
35.2	3
35.3	2
35.4	2
35.5	5
